iter	Passed	Remaining
655	4254	2231
656	4260	2224
657	4266	2217
658	4272	2210
659	4278	2203
660	4284	2197
661	4290	2190
662	4296	2183
663	4303	2177
664	4310	2171
665	4316	2164
666	4323	2158
667	4329	2151
668	4336	2145
669	4343	2139
670	4357	2136
671	4364	2130
672	4370	2123
673	4378	2117
674	4385	2111
675	4391	2104
676	4398	2098
677	4404	2091
678	4410	2084
679	4416	2078
680	4422	2071
681	4428	2065
682	4435	2058
683	4441	2051
684	4447	2045
685	4453	2038
686	4459	2031
687	4465	2025
688	4472	2018
689	4478	2012
690	4484	2005
691	4490	1998
692	4497	1992
693	4503	1985
694	4509	1978
695	4515	1972
696	4521	1965
697	4527	1958
698	4533	1952
699	4540	1945
700	4546	1939
701	4552	1932
702	4559	1926
703	4566	1919
704	4573	1913
705	4579	1907
706	4585	1900
707	4592	1894
708	4598	1887
709	4604	1880
710	4610	1874
711	4616	1867
712	4622	1860
713	4628	1854
714	4634	1847
715	4640	1840
716	4647	1834
717	4654	1827
718	4661	1821
719	4667	1815
720	4673	1808
721	4679	1801
722	4686	1795
723	4692	1788
724	4698	1782
725	4705	1775
726	4710	1769
727	4716	1762
728	4722	1755
729	4729	1749
730	4735	1742
731	4742	1736
732	4748	1729
733	4755	1723
734	4761	1716
735	4768	1710
736	4773	1703
737	4780	1696
738	4785	1690
739	4792	1683
740	4798	1677
741	4804	1670
742	4809	1663
743	4816	1657
744	4822	1650
745	4829	1644
746	4835	1637
747	4841	1630
748	4847	1624
749	4852	1617
750	4858	1610
751	4865	1604
752	4871	1597
753	4877	1591
754	4883	1584
755	4889	1578
756	4896	1571
757	4902	1565
758	4908	1558
759	4915	1552
760	4942	1552
761	4949	1545
762	4955	1539
763	4962	1532
764	4968	1526
765	4974	1519
766	4980	1512
767	4986	1506
768	4992	1499
769	4999	1493
770	5005	1486
771	5011	1480
772	5017	1473
773	5023	1466
774	5030	1460
775	5037	1453
776	5043	1447
777	5049	1440
778	5055	1434
779	5061	1427
780	5068	1421
781	5073	1414
782	5079	1407
783	5085	1401
784	5092	1394
785	5097	1387
786	5104	1381
787	5111	1375
788	5117	1368
789	5123	1362
790	5129	1355
791	5135	1348
792	5141	1342
793	5147	1335
794	5153	1328
795	5159	1322
796	5165	1315
797	5171	1309
798	5177	1302
799	5183	1295
800	5189	1289
801	5195	1282
802	5201	1276
803	5208	1269
804	5215	1263
805	5222	1256
806	5229	1250
807	5235	1244
808	5241	1237
809	5247	1230
810	5252	1224
811	5259	1217
812	5265	1211
813	5271	1204
814	5278	1198
815	5285	1191
816	5292	1185
817	5298	1178
818	5305	1172
819	5311	1165
820	5317	1159
821	5322	1152
822	5328	1146
823	5335	1139
824	5341	1133
825	5349	1126
826	5355	1120
827	5362	1113
828	5368	1107
829	5375	1100
830	5381	1094
831	5388	1088
832	5394	1081
833	5399	1074
834	5405	1068
835	5411	1061
836	5417	1055
837	5423	1048
838	5429	1041
839	5435	1035
840	5441	1028
841	5446	1022
842	5452	1015
843	5459	1009
844	5466	1002
845	5473	996
846	5479	989
847	5485	983
848	5491	976
849	5498	970
850	5504	963
851	5511	957
852	5517	950
853	5524	944
854	5531	938
855	5538	931
856	5545	925
857	5551	918
858	5559	912
859	5565	906
860	5572	899
861	5579	893
862	5585	886
863	5592	880
864	5599	873
865	5605	867
866	5612	860
867	5618	854
868	5625	847
869	5631	841
870	5638	835
871	5645	828
872	5652	822
873	5659	815
874	5666	809
875	5672	802
876	5678	796
877	5685	790
878	5691	783
879	5700	777
880	5707	770
881	5714	764
882	5721	758
883	5727	751
884	5733	745
885	5740	738
886	5747	732
887	5754	725
888	5760	719
889	5767	712
890	5774	706
891	5781	699
892	5788	693
893	5794	687
894	5801	680
895	5807	674
896	5814	667
897	5819	661
898	5826	654
899	5833	648
900	5840	641
901	5847	635
902	5854	628
903	5860	622
904	5867	615
905	5873	609
906	5879	602
907	5885	596
908	5891	589
909	5896	583
910	5903	576
911	5909	570
912	5916	563
913	5923	557
914	5929	550
915	5937	544
916	5944	538
917	5950	531
918	5955	524
919	5962	518
920	5968	511
921	5974	505
922	5981	498
923	5987	492
924	5994	486
925	6000	479
926	6007	473
927	6013	466
928	6019	460
929	6025	453
930	6031	447
931	6036	440
932	6043	433
933	6049	427
934	6056	421
935	6062	414
936	6068	408
937	6076	401
938	6081	395
939	6088	388
940	6094	382
941	6100	375
942	6107	369
943	6112	362
944	6118	356
945	6124	349
946	6130	343
947	6136	336
948	6143	330
949	6149	323
950	6155	317
951	6162	310
952	6169	304
953	6176	297
954	6183	291
955	6190	284
956	6196	278
957	6203	271
958	6209	265
959	6216	259
960	6222	252
961	6229	246
962	6236	239
963	6242	233
964	6249	226
965	6255	220
966	6261	213
967	6268	207
968	6274	200
969	6281	194
970	6287	187
971	6293	181
972	6299	174
973	6305	168
974	6311	161
975	6318	155
976	6324	148
977	6331	142
978	6337	135
979	6343	129
980	6350	123
981	6357	116
982	6364	110
983	6371	103
984	6377	97
985	6384	90
986	6390	84
987	6397	77
988	6404	71
989	6410	64
990	6416	58
991	6422	51
992	6428	45
993	6434	38
994	6440	32
995	6447	25
996	6453	19
997	6459	12
998	6465	6
999	6471	0
