iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
291	1325	1855	1325	4014	1325	1855	4014
292	1325	1853	1325	4014	1325	1853	4014
293	1324	1852	1324	4014	1324	1852	4014
294	1326	1856	1326	4014	1326	1856	4014
295	1324	1853	1324	4014	1324	1853	4014
296	1324	1854	1324	4014	1324	1854	4014
297	1326	1857	1326	4014	1326	1857	4014
298	1325	1856	1325	4014	1325	1856	4014
299	1324	1855	1324	4014	1324	1855	4014
300	1322	1852	1322	4014	1322	1852	4014
301	1323	1852	1323	4014	1323	1852	4014
302	1324	1851	1324	4014	1324	1851	4014
303	1325	1851	1325	4014	1325	1851	4014
304	1326	1852	1326	4014	1326	1852	4014
305	1326	1851	1326	4014	1326	1851	4014
306	1328	1853	1328	4014	1328	1853	4014
307	1325	1850	1325	4014	1325	1850	4014
308	1324	1848	1324	4014	1324	1848	4014
309	1327	1850	1327	4014	1327	1850	4014
310	1327	1850	1327	4014	1327	1850	4014
311	1327	1850	1327	4014	1327	1850	4014
312	1326	1848	1326	4014	1326	1848	4014
313	1327	1849	1327	4014	1327	1849	4014
314	1327	1850	1327	4014	1327	1850	4014
315	1326	1848	1326	4014	1326	1848	4014
316	1327	1849	1327	4014	1327	1849	4014
317	1327	1848	1327	4014	1327	1848	4014
318	1330	1853	1330	4014	1330	1853	4014
319	1330	1848	1330	4014	1330	1848	4014
320	1327	1845	1327	4014	1327	1845	4014
321	1327	1846	1327	4014	1327	1846	4014
322	1327	1847	1327	4014	1327	1847	4014
323	1333	1857	1333	4014	1333	1857	4014
324	1333	1855	1333	4014	1333	1855	4014
325	1336	1855	1336	4014	1336	1855	4014
326	1337	1855	1337	4014	1337	1855	4014
327	1337	1855	1337	4014	1337	1855	4014
328	1337	1854	1337	4014	1337	1854	4014
329	1338	1858	1338	4014	1338	1858	4014
330	1337	1858	1337	4014	1337	1858	4014
331	1338	1859	1338	4014	1338	1859	4014
332	1337	1855	1337	4014	1337	1855	4014
333	1336	1854	1336	4014	1336	1854	4014
334	1337	1857	1337	4014	1337	1857	4014
335	1336	1856	1336	4014	1336	1856	4014
336	1337	1858	1337	4014	1337	1858	4014
337	1338	1858	1338	4014	1338	1858	4014
338	1339	1858	1339	4014	1339	1858	4014
339	1340	1859	1340	4014	1340	1859	4014
340	1341	1861	1341	4014	1341	1861	4014
341	1341	1861	1341	4014	1341	1861	4014
342	1343	1864	1343	4014	1343	1864	4014
343	1341	1861	1341	4014	1341	1861	4014
344	1341	1861	1341	4014	1341	1861	4014
345	1343	1864	1343	4014	1343	1864	4014
346	1345	1868	1345	4014	1345	1868	4014
347	1344	1868	1344	4014	1344	1868	4014
348	1343	1866	1343	4014	1343	1866	4014
349	1343	1866	1343	4014	1343	1866	4014
350	1345	1867	1345	4014	1345	1867	4014
351	1347	1868	1347	4014	1347	1868	4014
352	1347	1867	1347	4014	1347	1867	4014
353	1346	1868	1346	4014	1346	1868	4014
354	1347	1869	1347	4014	1347	1869	4014
355	1347	1869	1347	4014	1347	1869	4014
356	1348	1871	1348	4014	1348	1871	4014
357	1349	1872	1349	4014	1349	1872	4014
358	1348	1871	1348	4014	1348	1871	4014
359	1349	1871	1349	4014	1349	1871	4014
360	1350	1871	1350	4014	1350	1871	4014
361	1348	1870	1348	4014	1348	1870	4014
362	1348	1867	1348	4014	1348	1867	4014
363	1349	1869	1349	4014	1349	1869	4014
364	1348	1865	1348	4014	1348	1865	4014
365	1350	1865	1350	4014	1350	1865	4014
366	1353	1869	1353	4014	1353	1869	4014
367	1353	1869	1353	4014	1353	1869	4014
368	1352	1865	1352	4014	1352	1865	4014
369	1352	1864	1352	4014	1352	1864	4014
370	1353	1862	1353	4014	1353	1862	4014
371	1353	1863	1353	4014	1353	1863	4014
372	1361	1871	1361	4014	1361	1871	4014
373	1360	1872	1360	4014	1360	1872	4014
374	1362	1874	1362	4014	1362	1874	4014
375	1363	1876	1363	4014	1363	1876	4014
376	1365	1878	1365	4014	1365	1878	4014
377	1365	1878	1365	4014	1365	1878	4014
378	1365	1878	1365	4014	1365	1878	4014
379	1364	1877	1364	4014	1364	1877	4014
380	1363	1875	1363	4014	1363	1875	4014
381	1366	1878	1366	4014	1366	1878	4014
382	1368	1881	1368	4014	1368	1881	4014
383	1367	1883	1367	4014	1367	1883	4014
384	1368	1882	1368	4014	1368	1882	4014
385	1367	1882	1367	4014	1367	1882	4014
386	1368	1882	1368	4014	1368	1882	4014
387	1367	1881	1367	4014	1367	1881	4014
388	1368	1881	1368	4014	1368	1881	4014
389	1369	1882	1369	4014	1369	1882	4014
390	1375	1889	1375	4014	1375	1889	4014
391	1374	1888	1374	4014	1374	1888	4014
392	1375	1889	1375	4014	1375	1889	4014
393	1377	1892	1377	4014	1377	1892	4014
394	1378	1893	1378	4014	1378	1893	4014
395	1379	1893	1379	4014	1379	1893	4014
396	1379	1892	1379	4014	1379	1892	4014
397	1381	1894	1381	4014	1381	1894	4014
398	1378	1891	1378	4014	1378	1891	4014
399	1379	1892	1379	4014	1379	1892	4014
400	1380	1891	1380	4014	1380	1891	4014
401	1380	1891	1380	4014	1380	1891	4014
402	1380	1891	1380	4014	1380	1891	4014
403	1380	1891	1380	4014	1380	1891	4014
404	1379	1889	1379	4014	1379	1889	4014
405	1379	1889	1379	4014	1379	1889	4014
406	1382	1890	1382	4014	1382	1890	4014
407	1383	1890	1383	4014	1383	1890	4014
408	1383	1891	1383	4014	1383	1891	4014
409	1383	1890	1383	4014	1383	1890	4014
410	1383	1889	1383	4014	1383	1889	4014
411	1385	1891	1385	4014	1385	1891	4014
412	1385	1892	1385	4014	1385	1892	4014
413	1386	1893	1386	4014	1386	1893	4014
414	1388	1893	1388	4014	1388	1893	4014
415	1388	1892	1388	4014	1388	1892	4014
416	1387	1892	1387	4014	1387	1892	4014
417	1394	1898	1394	4014	1394	1898	4014
418	1394	1898	1394	4014	1394	1898	4014
419	1394	1898	1394	4014	1394	1898	4014
420	1394	1896	1394	4014	1394	1896	4014
421	1395	1897	1395	4014	1395	1897	4014
422	1394	1896	1394	4014	1394	1896	4014
423	1396	1898	1396	4014	1396	1898	4014
424	1398	1900	1398	4014	1398	1900	4014
425	1399	1902	1399	4014	1399	1902	4014
426	1399	1902	1399	4014	1399	1902	4014
427	1398	1901	1398	4014	1398	1901	4014
428	1399	1901	1399	4014	1399	1901	4014
429	1398	1900	1398	4014	1398	1900	4014
430	1397	1898	1397	4014	1397	1898	4014
431	1400	1901	1400	4014	1400	1901	4014
432	1400	1900	1400	4014	1400	1900	4014
433	1400	1900	1400	4014	1400	1900	4014
434	1400	1900	1400	4014	1400	1900	4014
435	1398	1898	1398	4014	1398	1898	4014
436	1398	1898	1398	4014	1398	1898	4014
437	1397	1898	1397	4014	1397	1898	4014
438	1396	1896	1396	4014	1396	1896	4014
439	1396	1896	1396	4014	1396	1896	4014
440	1396	1897	1396	4014	1396	1897	4014
441	1397	1895	1397	4014	1397	1895	4014
442	1397	1895	1397	4014	1397	1895	4014
443	1401	1900	1401	4014	1401	1900	4014
